"value","income","age","rooms","bedrooms","pop","hh"
452600,8.3252,41,880,129,322,126
358500,8.3014,21,7099,1106,2401,1138
352100,7.2574,52,1467,190,496,177
341300,5.6431,52,1274,235,558,219
342200,3.8462,52,1627,280,565,259
269700,4.0368,52,919,213,413,193
299200,3.6591,52,2535,489,1094,514
241400,3.12,52,3104,687,1157,647
226700,2.0804,42,2555,665,1206,595
261100,3.6912,52,3549,707,1551,714
281500,3.2031,52,2202,434,910,402
241800,3.2705,52,3503,752,1504,734
213500,3.075,52,2491,474,1098,468
191300,2.6736,52,696,191,345,174
159200,1.9167,52,2643,626,1212,620
140000,2.125,50,1120,283,697,264
152500,2.775,52,1966,347,793,331
155500,2.1202,52,1228,293,648,303
158700,1.9911,50,2239,455,990,419
162900,2.6033,52,1503,298,690,275
147500,1.3578,40,751,184,409,166
159800,1.7135,42,1639,367,929,366
113900,1.725,52,2436,541,1015,478
99700,2.1806,52,1688,337,853,325
132600,2.6,52,2224,437,1006,422
107500,2.4038,41,535,123,317,119
93800,2.4597,49,1130,244,607,239
105500,1.808,52,1898,421,1102,397
108900,1.6424,50,2082,492,1131,473
132000,1.6875,52,729,160,395,155
122300,1.9274,49,1916,447,863,378
115200,1.9615,52,2153,481,1168,441
110400,1.7969,48,1922,409,1026,335
104900,1.375,49,1655,366,754,329
109700,2.7303,51,2665,574,1258,536
97200,1.4861,49,1215,282,570,264
104500,1.0972,48,1798,432,987,374
103900,1.4103,52,1511,390,901,403
191400,3.48,52,1470,330,689,309
176000,2.5898,52,2432,715,1377,696
155400,2.0978,52,1665,419,946,395
150000,1.2852,51,936,311,517,249
118800,1.025,49,713,202,462,189
188800,3.9643,52,950,202,467,198
184400,3.0125,52,1443,311,660,292
182300,2.6768,52,1656,420,718,382
142500,2.026,50,1125,322,616,304
137500,1.7348,43,1007,312,558,253
187500,0.9506,40,624,195,423,160
112500,1.775,40,946,375,700,352
171900,0.9218,21,896,453,735,438
93800,1.5045,43,1868,456,1061,407
97500,1.1108,41,3221,853,1959,720
104200,1.2475,52,1630,456,1162,400
87500,1.6098,52,1170,235,701,233
83100,1.4113,52,945,243,576,220
87500,1.5057,52,1238,288,622,259
85300,0.8172,52,1489,335,728,244
80300,1.2171,52,1387,341,1074,304
60000,2.5625,2,158,43,94,57
75700,3.3929,52,1121,211,554,187
75000,6.1183,49,135,29,86,23
86100,0.9011,50,760,190,377,122
76100,1.191,52,1224,237,521,159
73500,2.5938,48,828,182,392,133
78400,1.1667,52,1010,209,604,187
84400,0.8056,48,1455,354,788,332
81300,2.6094,52,1027,244,492,147
85000,1.8516,52,572,109,274,82
129200,0.9802,46,2801,644,1823,611
82500,1.7719,26,768,152,392,127
95200,0.7286,46,935,297,582,277
75000,1.75,49,844,204,560,152
67500,0.4999,46,12,4,18,7
137500,2.483,20,835,161,290,133
177500,0.9241,17,1237,462,762,439
102100,2.4464,36,2914,562,1236,509
108300,1.1111,19,1207,243,721,207
112500,0.8026,23,1745,374,1054,325
131300,2.0114,38,684,176,344,155
162500,1.5,17,924,289,609,289
112500,1.1667,52,210,56,183,56
112500,1.5208,52,340,97,200,87
137500,0.8075,52,386,164,346,155
118800,1.8088,35,948,184,467,169
98200,2.4083,52,773,143,377,115
118800,0.977,40,880,451,582,380
162500,0.76,10,875,348,546,330
137500,0.9722,10,105,42,125,39
500001,1.2434,52,249,78,396,85
162500,2.0938,16,994,392,800,362
137500,0.8668,52,215,87,904,88
162500,0.75,52,96,31,191,34
187500,2.6354,27,1055,347,718,302
179200,1.8477,39,1715,623,1327,467
130000,2.0096,36,5329,2477,3469,2323
183800,2.8345,31,4596,1331,2048,1180
125000,2.0062,29,335,107,202,91
170000,1.2185,22,3682,1270,2024,1250
193100,2.6104,37,3633,1085,1838,980
257800,2.4912,29,4656,1414,2304,1250
273400,3.2177,28,5806,1603,2563,1497
237500,3.125,39,854,242,389,228
350000,2.5795,52,2155,701,895,613
335700,2.8406,34,5871,1914,2689,1789
313400,4.9306,52,1509,225,674,244
268500,3.2727,52,2026,482,709,456
259400,3.1691,52,1758,460,686,422
275700,3.9,52,3481,751,1444,718
225000,3.9063,28,3337,855,1520,802
262500,5.0917,52,1424,289,550,253
218500,2.6429,32,3809,1098,1806,1022
255000,3.0233,26,3959,1196,1749,1217
224100,3.1484,52,2376,559,939,519
243100,3.4722,35,1613,428,675,422
231600,3.1429,52,1279,287,534,291
218500,2.4234,28,5022,1750,2558,1661
234100,3.0897,52,4190,1105,1786,1037
327600,5.8596,50,2515,399,970,373
347600,5.2868,47,3175,454,1098,485
366100,5.956,41,2576,406,794,376
335000,4.9643,37,334,54,98,47
373600,6.3434,52,2800,411,1061,403
389500,5.1773,52,3529,574,1177,555
391100,7.2354,52,2612,365,901,367
337300,5.457,28,5287,1048,2031,956
295200,7.5,50,2935,473,1031,479
292300,6.0194,44,3424,597,1358,597
411500,7.5544,40,4991,674,1616,654
311500,6.0666,30,2211,346,844,343
325900,7.0548,34,3038,490,1140,496
392600,11.6017,18,1617,210,533,194
319300,7.4882,35,2865,460,1072,443
333300,6.8976,34,5065,788,1627,766
335200,8.2049,28,1326,184,463,190
351200,8.401,26,1589,223,542,211
368900,6.8538,29,1791,271,661,269
365900,8.317,32,1835,264,635,263
366700,7.0175,37,1229,181,420,176
362800,6.3302,39,3770,534,1265,500
483300,6.3624,30,292,38,126,52
331400,7.0549,52,2375,333,813,350
323500,6.7851,45,2964,436,1067,426
216700,2.8929,50,2833,605,1260,552
233100,3.0812,38,2254,535,951,487
296400,5.2402,52,1389,212,510,224
273700,6.5217,52,1971,335,765,308
227700,3.2632,52,2183,465,1129,460
199600,3.0298,52,2286,464,1073,441
239800,4.5428,52,2721,541,1185,515
270100,4.072,52,2024,339,756,340
302100,5.3509,52,2944,536,1034,521
269500,3.1603,52,2033,486,787,459
314700,4.7708,52,1433,229,612,213
390100,8.1564,52,2927,402,1021,380
410300,8.8793,52,2315,292,861,258
352400,6.8591,52,2485,313,953,327
287300,6.0302,52,1490,238,634,256
348700,7.508,52,2814,365,878,352
243800,2.7477,52,2093,550,918,483
211500,2.1944,52,888,168,360,175
218400,3.0149,52,2087,510,1197,488
269900,3.675,52,2513,502,1048,518
218800,3.225,46,3232,835,1373,747
225000,2.9345,42,4120,1065,1715,1015
250000,2.1429,43,2364,792,1359,722
171400,1.6121,41,1471,469,1062,413
193800,1.3929,29,2468,864,1335,773
125000,2.3173,27,1632,492,1171,429
97500,1.7772,45,1786,526,1475,460
125000,2.6458,50,629,188,742,196
138800,2.181,52,1339,391,1086,363
116700,2.2303,36,1678,606,1645,543
151800,1.6504,43,2344,647,1710,644
127000,2.2697,52,996,228,731,228
128600,2.1563,52,1591,373,1118,347
140600,2.1348,52,1586,398,1006,335
182700,2.6292,47,2046,588,1213,554
146900,2.3833,52,1192,289,772,257
122800,2.957,52,1803,420,1321,401
169300,2.5238,49,2838,749,1487,677
126600,1.9375,52,783,184,488,186
127900,1.9028,51,1590,414,949,392
123500,2.25,50,1746,480,1149,415
111900,2.3929,52,1252,299,844,280
112800,2.1917,43,5963,1344,4367,1231
107900,2.9357,52,1783,395,1659,412
137500,1.8854,30,999,264,1011,263
105500,2.1638,39,1469,431,1464,389
95500,2.125,47,1372,395,1237,303
116100,3.375,52,674,180,647,168
112200,2.2542,43,1626,376,1284,357
75000,2.1,51,175,43,228,55
112500,1.6,39,461,129,381,123
125000,3.625,52,902,237,846,227
115000,1.6929,20,2373,779,1659,676
95000,1.6471,52,391,128,520,138
96400,2.59,52,1137,301,866,259
72000,2.57,52,769,206,612,183
71300,2.6429,52,472,146,415,126
80800,3.0257,52,862,215,994,213
128800,1.4886,50,1920,530,1525,477
112500,1.9338,43,1420,472,1506,438
119400,1.4844,52,986,258,1008,255
118100,1.6009,44,2340,825,2813,751
122500,2.0375,48,1696,396,1481,343
106300,2.293,49,1175,217,859,219
132500,2.1494,37,2343,574,1608,523
122700,1.6198,30,610,145,425,140
113300,1.3281,40,930,199,564,184
