values
count	20640
mean	206855.82
std	115392.82
max	500001.00
min	14999.00
25.00%	119600.00
50.00%	179700.00
75.00%	264700.00

income
count	20640
mean	3.87
std	1.90
max	15.00
min	0.50
25.00%	2.56
50.00%	3.53
75.00%	4.74

age
count	20640
mean	28.64
std	12.59
max	52.00
min	1.00
25.00%	18.00
50.00%	29.00
75.00%	37.00

rooms
count	20640
mean	2635.76
std	2181.56
max	39320.00
min	2.00
25.00%	1447.00
50.00%	2127.00
75.00%	3148.00

bedrooms
count	20640
mean	537.90
std	421.24
max	6445.00
min	1.00
25.00%	295.00
50.00%	435.00
75.00%	647.00

pop
count	20640
mean	1425.48
std	1132.43
max	35682.00
min	3.00
25.00%	787.00
50.00%	1166.00
75.00%	1725.00

hh
count	20640
mean	499.54
std	382.32
max	6082.00
min	1.00
25.00%	280.00
50.00%	409.00
75.00%	605.00

